YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 02 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 02 00 233  6.3  7.6 99.00 99.00 99.00 999 1028.1   4.4   5.9    .1 99.0
1999 02 02 01 241  4.2  5.0  1.00 11.11  4.94 106 1027.5   4.7   5.9   -.3 99.0
1999 02 02 02 228  3.9  4.8  1.01 12.50  5.33 110 1027.2   5.1   5.9   1.7 99.0
1999 02 02 03 235  2.7  3.2   .93 11.11  5.53 109 1027.2   5.1   5.9   1.8 99.0
1999 02 02 04 219  2.1  2.7   .89 12.50  5.56 116 1027.2   5.2   5.9   1.7 99.0
1999 02 02 05 148  2.0  2.7   .94 12.50  6.83 121 1026.6   5.5   5.9   1.9 99.0
1999 02 02 06 139  3.6  4.3   .89 12.50  7.22 120 1025.6   5.5   5.9   2.9 99.0
1999 02 02 07 125  5.0  5.8  1.02 12.50  8.06 118 1025.0   5.5   5.9   3.5 99.0
1999 02 02 08 109  5.1  6.0   .86 12.50  7.41 115 1023.6   5.9   5.9   4.2 99.0
1999 02 02 09 109  5.3  6.6   .88 12.50  6.50 121 1022.6   6.4   5.9   5.0 99.0
1999 02 02 10 117  5.5  6.6   .88 11.11  6.15 113 1021.9   7.1   6.0   5.7 99.0
1999 02 02 11 135  6.2  7.4   .85 12.50  5.15 116 1021.0   7.9   6.0   6.3 99.0
1999 02 02 12 142  6.4  7.3   .88 12.50  5.04 121 1020.6   8.3   6.0   6.5 99.0
1999 02 02 13 130  6.7  7.5   .90 12.50  5.08 113 1019.9   8.2   6.2   6.6 99.0
1999 02 02 14 133  7.0  7.7   .91 12.50  4.85 117 1019.6   8.3   6.2   6.9 99.0
1999 02 02 15 143  8.0  9.2  1.10 12.50  4.74 113 1018.4   8.9   6.2   7.5 99.0
1999 02 02 16 140  9.0 10.3  1.20  4.17  4.53 151 1017.3   9.0   6.3   7.6 99.0
1999 02 02 17 140  9.1 10.7  1.43  4.76  4.77 142 1015.8   9.0   6.3   7.7 99.0
1999 02 02 18 142  9.1 10.9  1.54  5.00  4.94 151 1014.1   9.4   6.3   8.2 99.0
1999 02 02 19 149 11.0 13.6  1.78  5.56  5.07 158 1012.5   9.4   6.3   8.1 99.0
1999 02 02 20 145 10.5 12.6  2.03  5.88  5.22 160 1011.2   9.0   6.3   8.1 99.0
1999 02 02 21 148 11.7 13.7  2.06  6.25  5.26 156 1009.8   9.4   6.3   8.6 99.0
1999 02 02 22 145 11.7 14.2  2.44  6.67  5.51 143 1008.9   9.5   6.3   8.7 99.0
1999 02 02 23 139 11.7 14.1  2.68  7.14  5.74 142 1007.8   9.5   6.3   8.8 99.0
1999 02 03 00 173 10.9 12.7  2.86  7.69  5.93 142 1008.0   9.8   6.3   9.1 99.0
1999 02 03 01 183  8.3 10.4  2.61  7.69  5.90 140 1008.5   9.5   6.3   8.8 99.0
1999 02 03 02 188  7.9  9.3  2.65  8.33  6.11 132 1008.0   9.5   6.3   8.9 99.0
1999 02 03 03 180  4.6  5.5  2.56  7.69  6.28 149 1007.5   8.3   6.3   7.7 99.0
1999 02 03 04 233  3.2  3.9  2.75  8.33  6.60 162 1007.1   7.9   6.3   7.4 99.0
1999 02 03 05 218  3.3  4.3  2.62  8.33  6.81 144 1007.1   7.7   6.3   7.2 99.0
1999 02 03 06 237  4.1  5.0  2.69  8.33  7.02 147 1006.7   7.8   6.3   7.3 99.0
1999 02 03 07 255  5.7  7.6  2.60  9.09  7.07 156 1006.8   7.3   6.3   6.8 99.0
1999 02 03 08 272  4.7  5.8  2.60  9.09  7.34 151 1006.8   7.5   6.2   7.0 99.0
1999 02 03 09 271  6.2  7.7  2.65 10.00  7.23 161 1007.5   7.4   6.2   6.9 99.0
1999 02 03 10 274  3.3  5.0  2.50 10.00  7.48 167 1008.5   7.1   6.2   6.4 99.0
1999 02 03 11 280  4.8  6.4  2.81 10.00  7.79 162 1009.6   5.9   6.2   5.2 99.0
1999 02 03 12 282  4.7  6.4  2.82 11.11  7.70 158 1010.2   6.3   6.2   5.7 99.0
1999 02 03 13 273  5.6  7.7  2.75 10.00  7.53 162 1011.5   6.6   6.2   6.1 99.0
1999 02 03 14 250  4.5  5.4  2.52 11.11  7.45 154 1012.4   6.6   6.2   6.0 99.0
1999 02 03 15 268  5.3  6.7  2.36 10.00  7.71 147 1013.2   6.6   6.3   5.7 99.0
1999 02 03 16 270  5.9  7.1  2.73 10.00  8.00 152 1014.0   7.0   6.3   5.1 99.0
1999 02 03 17 275  5.8  7.1  2.27 11.11  7.77 146 1014.2   7.0   6.3   4.9 99.0
1999 02 03 18 271  5.9  6.9  2.41 10.00  7.52 155 1014.1   7.1   6.3   4.8 99.0
1999 02 03 19 270  5.5  6.9  2.24 11.11  7.42 144 1015.0   7.4   6.3   4.5 99.0
1999 02 03 20 268  4.8  5.9  2.19 11.11  7.81 144 1015.7   7.5   6.3   4.1 99.0
1999 02 03 21 263  3.6  4.7  1.99 10.00  7.54 157 1016.4   7.8   6.3   4.4 99.0
1999 02 03 22 251  2.5  3.3  1.86 10.00  7.58 156 1017.2   7.5   6.3   3.9 99.0
1999 02 03 23 255  1.9  2.7  2.16 10.00  7.90 159 1017.8   6.7   6.3   3.8 99.0
1999 02 04 00 256  1.5  2.3  1.88 10.00  7.82 156 1018.4   6.6   6.3   3.5 99.0
1999 02 04 01 222   .7  1.5  2.09 10.00  8.01 164 1018.5   6.6   6.3   3.0 99.0
1999 02 04 02 158  1.3  2.1  2.06 10.00  7.79 157 1018.7   6.3   6.2   4.2 99.0
1999 02 04 03 156  1.1  1.7  2.09 10.00  8.03 144 1018.3   6.3   6.3   4.3 99.0
1999 02 04 04 172  1.9  2.8  1.84 10.00  7.65 143 1018.1   6.3   6.3   4.7 99.0
1999 02 04 05 162  1.9  2.7  1.96 11.11  8.12 143 1018.0   6.3   6.3   5.0 99.0
1999 02 04 06 180  1.4  2.1  1.99 10.00  8.21 154 1018.0   6.3   6.2   5.1 99.0
1999 02 04 07 158  1.0  1.6  1.79 10.00  7.88 158 1018.0   6.1   6.2   5.0 99.0
1999 02 04 08  90  1.3  2.0  1.91 10.00  8.27 150 1018.1   5.9   6.2   4.8 99.0
1999 02 04 09 128  2.3  3.1  1.90 10.00  8.25 150 1017.4   5.9   6.2   5.0 99.0
1999 02 04 10 133  3.6  4.3  1.99 10.00  8.27 151 1016.5   6.3   6.2   5.2 99.0
1999 02 04 11 140  3.8  4.7  2.06 10.00  8.18 149 1015.7   6.6   6.2   5.5 99.0
1999 02 04 12 135  4.8  5.7 99.00 99.00 99.00 999 1015.0   6.6   6.2   5.2 99.0
1999 02 04 13 132  5.9  6.8  1.82 10.00  7.68 149 1014.6   7.1   6.3   5.0 99.0
