YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 08 12 031 05.3 06.7 00.60 08.30 05.70 142 1016.3  05.8  07.1 999.0 14.2
93 01 08 13 041 04.0 04.8 00.80 07.70 05.30 128 1017.2  05.6  07.1 999.0 12.8
93 01 08 14 025 05.0 05.8 00.70 08.30 05.40 131 1017.1  05.5  07.1 999.0 13.1
93 01 08 15 048 05.5 06.7 00.80 08.30 05.30 119 1017.3  05.6  07.1 999.0 11.9
93 01 08 16 045 05.2 06.1 00.80 08.30 05.40 122 1017.5  05.6  07.1 999.0 12.2
93 01 08 17 032 05.1 06.2 00.80 08.30 05.10 129 1016.9  05.6  07.2 999.0 12.9
93 01 08 18 012 06.2 07.3 00.80 07.70 05.00 152 1016.3  04.8  07.4 999.0 15.2
93 01 08 19 022 07.9 08.9 01.00 08.30 04.70 144 1016.4  05.1  07.4 999.0 14.4
93 01 08 20 029 07.7 09.0 01.00 07.70 04.40 145 1016.2  04.8  07.1 999.0 14.5
93 01 08 21 031 07.3 08.9 01.10 08.30 04.30 158 1017.4  05.1  07.1 999.0 15.8
93 01 08 22 023 07.0 08.8 01.00 07.70 04.20 151 1018.3  05.1  07.1 999.0 15.1
93 01 08 23 015 06.4 07.7 01.10 07.70 04.60 143 1019.6  05.5  07.1 999.0 14.3
93 01 09 00 025 06.0 07.2 01.00 08.30 04.70 143 1019.6  05.8  07.1 999.0 14.3
93 01 09 01 029 07.8 09.4 00.90 08.30 04.40 139 1019.1  05.8  07.1 999.0 13.9
93 01 09 02 020 07.8 09.4 01.00 07.70 04.50 140 1020.0  05.6  07.1 999.0 14.0
93 01 09 03 011 08.3 10.1 01.00 06.20 04.30 131 1021.1  05.5  07.1 999.0 13.1
93 01 09 04 019 08.4 10.3 01.10 04.50 04.30 081 1021.5  05.4  07.1 999.0 08.1
93 01 09 05 031 08.8 10.4 01.30 08.30 04.40 131 1021.2  05.5  07.1 999.0 13.1
93 01 09 06 029 08.8 10.4 01.30 04.50 04.40 068 1022.3  05.5  07.1 999.0 06.8
93 01 09 07 028 09.5 11.9 01.50 09.10 04.70 139 1022.7  05.1  07.1 999.0 13.9
93 01 09 08 035 10.2 12.3 01.80 09.10 05.00 138 1023.0  04.7  07.0 999.0 13.8
93 01 09 09 033 10.4 13.3 01.90 09.10 05.10 138 1023.1  04.0  07.0 999.0 13.8
93 01 09 10 041 10.3 13.2 02.00 09.10 05.20 140 1024.0  03.4  07.0 999.0 14.0
93 01 09 11 030 11.3 13.7 02.00 05.30 05.00 067 1024.7  02.5  07.0 999.0 06.7
93 01 09 12 031 11.1 13.5 02.00 06.70 05.20 081 1025.4  02.0  07.0 999.0 08.1
93 01 09 13 031 11.8 14.5 02.30 06.70 05.60 074 1025.8  01.7  07.1 999.0 07.4
93 01 09 14 029 12.3 15.1 02.30 06.70 05.50 070 1026.6  01.7  07.1 999.0 07.0
93 01 09 15 031 12.4 15.1 02.50 07.10 05.60 073 1027.0  02.0  07.1 999.0 07.3
93 01 09 16 031 12.2 15.1 02.80 07.70 05.80 072 1027.0  01.8  07.1 999.0 07.2
93 01 09 17 025 12.7 15.8 02.70 06.70 05.70 065 1026.9  01.4  07.1 999.0 06.5
93 01 09 18 027 13.2 16.0 02.80 07.10 05.70 071 1026.6  01.1  07.1 999.0 07.1
93 01 09 19 027 13.1 16.0 03.10 07.70 06.00 072 1026.7  01.0  07.0 999.0 07.2
93 01 09 20 032 12.8 15.5 03.20 08.30 05.90 078 1026.9  01.2  06.7 999.0 07.8
93 01 09 21 035 12.8 15.8 03.20 07.70 06.10 072 1027.3  01.9  06.7 999.0 07.2
93 01 09 22 034 12.9 16.2 03.10 08.30 06.10 081 1027.6  02.0  06.6 999.0 08.1
93 01 09 23 036 13.4 16.1 03.50 08.30 06.30 077 1027.7  02.0  06.6 999.0 07.7
93 01 10 00 031 12.8 16.0 03.30 08.30 06.20 079 1028.5  01.7  06.4 999.0 07.9
93 01 10 01 030 12.8 15.6 03.40 08.30 06.40 075 1029.3  01.4  06.4 999.0 07.5
93 01 10 02 029 13.0 16.2 03.50 08.30 06.50 075 1029.5  01.1  06.4 999.0 07.5
93 01 10 03 027 13.2 16.6 03.30 08.30 06.30 085 1029.4  00.9  06.4 999.0 08.5
93 01 10 04 034 12.6 15.9 03.30 09.10 06.50 082 1029.6  00.8  06.3 999.0 08.2
93 01 10 05 032 12.4 15.6 03.10 09.10 06.10 082 1030.0  00.4  06.3 999.0 08.2
93 01 10 06 029 11.9 15.5 03.40 09.10 06.50 087 1030.8  00.1  06.3 999.0 08.7
93 01 10 07 023 11.3 14.3 03.40 09.10 06.40 095 1031.3 -00.2  06.3 999.0 09.5
93 01 10 08 025 11.1 14.0 03.20 09.10 06.40 092 1032.0 -00.6  06.3 999.0 09.2
93 01 10 09 022 11.0 13.7 03.20 09.10 06.30 098 1032.0 -00.5  06.3 999.0 09.8
93 01 10 10 024 11.1 13.6 03.00 09.10 06.20 094 1032.5 -00.7  06.3 999.0 09.4
93 01 10 11 028 10.5 13.1 03.10 09.10 06.30 096 1033.2 -00.9  06.3 999.0 09.6
93 01 10 12 030 11.4 13.5 03.00 09.10 06.30 091 1033.3 -00.7  06.3 999.0 09.1
93 01 10 13 025 11.7 14.5 03.00 09.10 06.10 084 1033.5 -00.3  06.3 999.0 08.4
93 01 10 14 032 11.2 14.0 03.10 09.10 06.20 089 1034.5 -00.3  06.4 999.0 08.9
93 01 10 15 027 11.6 14.4 02.90 07.70 05.90 075 1035.6 -00.7  06.3 999.0 07.5
