YEAR,WAVE,SUB_REG,ST,MODE_FX,AREA_X,ESTRIPS,NUMVAR,MODE,AREA,status
1985,3,5,36,7,1,46192.178913,1183208235.4,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1985,3,5,36,7,2,64421.849228,1478900240.9,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1985,3,5,36,7,5,866235.15189,10179875054,PRIVATE/RENTAL BOAT,INLAND,FINAL
1985,4,5,36,3,1,132685.1526,1104867662.6,SHORE,OCEAN (<= 3 MI),FINAL
1985,4,5,36,3,5,1493487.7303,25252814503,SHORE,INLAND,FINAL
1985,4,5,36,6,1,42169.48492,416250483.76,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1985,4,5,36,6,2,23008.589733,140211331.54,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1985,4,5,36,6,5,53997.223974,824790996.56,PARTY/CHARTER BOAT,INLAND,FINAL
1985,4,5,36,7,1,180752.70287,1575455550.7,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1985,4,5,36,7,2,272570.35658,5637805643.7,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1985,4,5,36,7,5,886303.53196,13936303979,PRIVATE/RENTAL BOAT,INLAND,FINAL
1985,5,5,36,3,1,12664.055428,82937214.347,SHORE,OCEAN (<= 3 MI),FINAL
1985,5,5,36,3,5,962657.44287,13142308426,SHORE,INLAND,FINAL
1985,5,5,36,6,1,65666.582246,456629350.85,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1985,5,5,36,6,2,2228.6256022,4997786.2477,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1985,5,5,36,6,5,100975.90102,1083887572.9,PARTY/CHARTER BOAT,INLAND,FINAL
1985,5,5,36,7,1,57545.263372,881853281.93,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1985,5,5,36,7,2,23642.440242,407411180.22,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1985,5,5,36,7,5,748394.2667,6151156318.2,PRIVATE/RENTAL BOAT,INLAND,FINAL
1985,6,5,36,3,1,214771.9394,9344425860.7,SHORE,OCEAN (<= 3 MI),FINAL
1985,6,5,36,3,5,302964.67661,10340994243,SHORE,INLAND,FINAL
1985,6,5,36,6,2,13320.300269,36361144.001,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1985,6,5,36,6,5,23028.422078,75380216.048,PARTY/CHARTER BOAT,INLAND,FINAL
1985,6,5,36,7,5,310883.55223,1213602762.8,PRIVATE/RENTAL BOAT,INLAND,FINAL
1986,2,5,36,3,5,318141.24522,2118742760.3,SHORE,INLAND,FINAL
1986,2,5,36,6,1,3163.6477864,1932763.0712,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1986,2,5,36,6,2,12278.049867,10434227.51,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1986,2,5,36,6,5,89603.22789,551867941.86,PARTY/CHARTER BOAT,INLAND,FINAL
1986,2,5,36,7,2,833.85723529,716819.0906,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1986,2,5,36,7,5,186781.60457,418070300.02,PRIVATE/RENTAL BOAT,INLAND,FINAL
1986,3,5,36,3,1,7624.0800865,40680258.913,SHORE,OCEAN (<= 3 MI),FINAL
1986,3,5,36,3,5,980764.8585,12624825321,SHORE,INLAND,FINAL
1986,3,5,36,6,1,21468.968296,193870913.72,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1986,3,5,36,6,2,8509.5426128,9481890.3913,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
