YEAR,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,wave,MODE,AREA,STATUS,DOWNLOAD
1981,5,36,8741120101,6,2,74.581383891,5644.2945001,5131.3744349,29071414.021,5205.9558188,29068630.203,1786.1081042,2411501.3948,6992.063923,34245872.58,10478.370164,117919717.94,4752.957527,24262012.69,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8783010000,6,2,0,0,0,0,0,0,30.159466144,942.12084676,30.159466144,942.12084676,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8791030402,6,1,1429.3405982,841995.38079,0,0,1429.3405982,841995.38079,0,0,1429.3405982,841995.38079,8802.3967343,38293046.765,3992.7409663,7878804.349,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8791030402,6,2,73817.043589,1431431333.5,5630.5340715,12180000.802,79447.577661,1478526990.6,16133.846929,254611214.14,95581.42459,2807505873.3,601658.54396,88643385448,272910.52525,18238399652,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8791030402,6,5,2789.2258737,9272320.2582,0,0,2789.2258737,9272320.2582,0,0,2789.2258737,9272320.2582,12255.552449,179013934.87,5559.0821233,36832163.742,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8791030901,6,2,13019.794819,146807551,298.32553557,88502.539406,13318.120354,146696872.95,0,0,13318.120354,146696872.95,13991.217547,153341296.66,6346.3746471,31550011.74,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8826020100,6,1,0,0,0,0,0,0,1279.195555,1800430.6375,1279.195555,1800430.6375,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8826020100,6,2,0,0,0,0,0,0,94122.73725,8708924082.2,94122.73725,8708924082.2,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8826020100,6,5,0,0,0,0,0,0,1708.7446753,1686074.8258,1708.7446753,1686074.8258,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8826020101,6,1,0,0,0,0,0,0,122.6675351,11425.145031,122.6675351,11425.145031,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8826020101,6,2,0,0,0,0,0,0,512.71092444,271918.49456,512.71092444,271918.49456,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8826020101,6,5,0,0,0,0,0,0,1125.7085867,867477.19356,1125.7085867,867477.19356,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8831021503,6,2,0,0,74.581383891,5373.447705,74.581383891,5373.447705,745.81383891,537344.7705,820.3952228,650187.1723,0,0,0,0,74.581383891,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8831022209,6,2,0,0,0,0,0,0,223.74415167,49421.784291,223.74415167,49421.784291,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835020000,6,1,0,0,0,0,0,0,11.9294373,175.51946289,11.9294373,175.51946289,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835020102,6,1,7854.9565483,46153507.76,0,0,7854.9565483,46153507.76,0,0,7854.9565483,46153507.76,116380.88127,6473805136.7,52790.021441,1331987093.6,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835020301,6,2,5750.0296658,27090637.259,0,0,5750.0296658,27090637.259,140.13370753,13401.17936,5890.1633733,27527995.779,3839.5040453,9925251.8565,1741.5876101,2042123.1555,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835020301,6,5,212.19317746,38244.805774,60.62662213,4211.8078106,272.81979959,53118.392719,0,0,272.81979959,53118.392719,124.02183374,11576.165975,56.255934747,2381.7991655,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8835030200,6,2,26.512675415,865.05058949,0,0,26.512675415,865.05058949,0,0,26.512675415,865.05058949,122.74467286,18541.279557,55.676618371,3814.8730997,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835250101,6,1,55351.008878,1385833030.5,279497.06291,9437387442.8,334848.07179,11307232376,0,0,334848.07179,11307232376,2174716.9811,467543615383,986445.15153,96197220682,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835250101,6,2,614511.10566,47559451465,561873.09399,49340289558,1176384.1997,116650956585,3156.1962594,6996707.372,1179540.3959,116916007610,8978482.2374,7.1319019E12,4072612.8266,1.4673907E12,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835250101,6,5,168434.16828,18899735351,61269.156138,1883529895.3,229703.32441,32601017826,30.313311065,1073.4442118,229733.63772,32601176580,2533578.2109,4.0621429E12,1149223.5376,835786960345,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8835430101,6,1,92019.277134,8436909592.1,11.9294373,144.09288299,92031.206571,8439114739.8,9463.0557153,90670373.989,101494.26229,10279138308,252493.01443,63256192381,114530.08003,13014978064,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835430101,6,2,970.41750333,482387.93396,414.39935806,210694.96449,1384.8168614,982823.82564,62.281647793,2127.0090312,1447.0985092,1011590.167,1189.753516,927856.29717,539.66865463,190906.67489,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835430101,6,5,19249.483822,346876148.42,0,0,19249.483822,346876148.42,4379.9265349,16507406.394,23629.410357,512654136.58,5961.9725278,30811789.944,2704.3329982,6339533.809,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8835440104,6,2,44770.967268,1404233253.9,0,0,44770.967268,1404233253.9,0,0,44770.967268,1404233253.9,282464.66581,59702889281,128125.13191,12283885025,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8835440104,6,5,234.8642494,67539.010512,0,0,234.8642494,67539.010512,0,0,234.8642494,67539.010512,258.89086211,82064.307395,117.4321247,16884.752628,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8839010101,6,1,0,0,0,0,0,0,71.576623803,5142.5050385,71.576623803,5142.5050385,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8839010101,6,2,23545.658438,419515812.75,149.16276778,21965.237463,23694.821205,419537777.99,721.42000212,234413.55095,24416.241207,428896809.26,40760.588755,1174238998.2,18488.881772,241599979.83,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8839010101,6,5,90.939933195,9392.5545715,1636.9187975,2179625.6062,1727.8587307,2299583.9328,1182.2191315,1379080.3301,2910.0778622,7118955.9416,2629.0420641,5580582.1613,1192.5256573,1148206.2337,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8839010201,6,2,0,0,1118.7207584,1153676.9788,1118.7207584,1153676.9788,3762.7617323,13051314.957,4881.4824906,21965662.424,434.07439397,173687.74164,196.89485347,35736.298096,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8839010201,6,5,30.313311065,1019.5710581,693.91603076,377867.11537,724.22934183,389082.39701,545.63959917,307266.4479,1269.868941,908417.79536,219.44678338,40318.524674,99.540407955,8295.5469565,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8839030301,6,5,0,0,0,0,0,0,260.2405504,81162.315146,260.2405504,81162.315146,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8850030101,6,2,4892.5999028,23555799.703,799.87061434,362052.43197,5692.4705171,24642938.179,0,0,5692.4705171,24642938.179,38847.251772,1239220254,17620.99781,254969890.14,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030102,6,2,5011.3763632,13620720.715,0,0,5011.3763632,13620720.715,0,0,5011.3763632,13620720.715,24277.276612,326300924.91,11012.100432,67136500.317,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030202,6,1,0,0,11.9294373,175.51946289,11.9294373,175.51946289,0,0,11.9294373,175.51946289,36.819492462,1672.0180395,16.701212221,344.01814726,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030202,6,2,0,0,1122.4819779,721553.48734,1122.4819779,721553.48734,303.06058469,92730.3668,1425.5425626,845105.17842,3318.923061,5484576.0784,1505.4536247,1128452.9571,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030302,6,1,1612.28969,829671.05065,4177.2960151,5569424.057,5789.5857051,10698299.643,73.285895001,1714.1963856,5862.8716001,10970856.868,10417.149858,34635192.573,4725.1881783,7126199.8961,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030302,6,2,141.72587708,24592.374567,0,0,141.72587708,24592.374567,0,0,141.72587708,24592.374567,249.95909489,76496.232281,113.38070167,15739.119723,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030401,6,1,0,0,7470.1986459,53417132.809,7470.1986459,53417132.809,0,0,7470.1986459,53417132.809,215741.27914,44553596855,97859.602261,9166914161.3,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030401,6,2,0,0,1326.9419828,1676640.4614,1326.9419828,1676640.4614,0,0,1326.9419828,1676640.4614,41391.432316,1629879911.7,18775.030534,335348216.49,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030402,6,2,153.89112427,24494.615025,0,0,153.89112427,24494.615025,0,0,153.89112427,24494.615025,6165.5502322,39317613.945,2796.6752391,8089609.3132,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8850030403,6,1,0,0,11817.563299,137721036.78,11817.563299,137721036.78,0,0,11817.563299,137721036.78,1171950.7856,1.3544506E12,531593.38908,278678556176,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030301,6,1,490.92301913,155783.37045,242223.22834,19002540788,242714.15136,19003069405,129.00797497,18430.164532,242843.15934,19003257554,462227.58799,68757294593,209665.05851,14146831277,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030301,6,2,2112.6939449,2447484.5343,0,0,2112.6939449,2447484.5343,642.18100879,215402.02916,2754.8749537,3147673.3371,3345.4934766,5170770.2059,1517.5058862,1063887.3171,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030301,6,5,41223.467943,221673138.45,17483.800742,106811032.34,58707.268685,450815682.16,147421.72063,3021953225.7,206128.98931,5245945120.4,120993.54795,1783614200.1,54882.313321,366979086.39,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8857030401,6,1,1432.5068495,182889.08689,0,0,1432.5068495,182889.08689,0,0,1432.5068495,182889.08689,3158.1046003,888888.72559,1432.5068495,182889.08689,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030401,6,2,0,0,0,0,0,0,13250.088598,166641599.94,13250.088598,166641599.94,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030401,6,5,0,0,0,0,0,0,483.10241726,209473.02425,483.10241726,209473.02425,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
