YEAR,MONTH,TYPE,TrackLengthSum_km,YM
2017,Apr,PASSENGER,4727.485896107435,2017-Apr
2017,Apr,PLEASURECRAFTSAILING,3293.7999434387684,2017-Apr
2017,Apr,TANKER,30356.8540907433,2017-Apr
2017,Apr,TUGTOW,0,2017-Apr
2017,Aug,ALLOTHER,55309.67387284459,2017-Aug
2017,Aug,ALLVESSELTYPES,393095.9057231754,2017-Aug
2017,Aug,CARGO,61541.635304438394,2017-Aug
2017,Aug,FISHING,175845.482805592,2017-Aug
2017,Aug,PASSENGER,14714.816300507113,2017-Aug
2017,Aug,PLEASURECRAFTSAILING,41658.168128775505,2017-Aug
2017,Aug,TANKER,31146.86856413774,2017-Aug
2017,Aug,TUGTOW,420.1174210419655,2017-Aug
2017,Dec,ALLOTHER,14097.03941159244,2017-Dec
2017,Dec,ALLVESSELTYPES,155692.56178541455,2017-Dec
2017,Dec,CARGO,52482.15770475879,2017-Dec
2017,Dec,FISHING,49798.326656430036,2017-Dec
2017,Dec,PASSENGER,6756.156674139694,2017-Dec
2017,Dec,PLEASURECRAFTSAILING,1136.50329978925,2017-Dec
2017,Dec,TANKER,19421.556488631843,2017-Dec
2017,Dec,TUGTOW,0,2017-Dec
2017,Feb,ALLOTHER,14083.548295714498,2017-Feb
2017,Feb,ALLVESSELTYPES,180003.5064354778,2017-Feb
2017,Feb,CARGO,52793.98162718049,2017-Feb
2017,Feb,FISHING,75302.89533809523,2017-Feb
2017,Feb,PASSENGER,3115.1338179970385,2017-Feb
2017,Feb,PLEASURECRAFTSAILING,2.5087298825383186e-5,2017-Feb
2017,Feb,TANKER,22561.461590882882,2017-Feb
2017,Feb,TUGTOW,0,2017-Feb
2017,Jan,ALLOTHER,11164.17159018427,2017-Jan
2017,Jan,ALLVESSELTYPES,163845.0236559648,2017-Jan
2017,Jan,CARGO,50453.40573176253,2017-Jan
2017,Jan,FISHING,58418.63549693483,2017-Jan
2017,Jan,PASSENGER,6887.786891256839,2017-Jan
2017,Jan,PLEASURECRAFTSAILING,140.6125432484448,2017-Jan
2017,Jan,TANKER,26395.18722134614,2017-Jan
2017,Jan,TUGTOW,394.81395793396234,2017-Jan
2017,Jul,ALLOTHER,49614.52522622258,2017-Jul
2017,Jul,ALLVESSELTYPES,462647.20244514564,2017-Jul
2017,Jul,CARGO,66574.535066822,2017-Jul
2017,Jul,FISHING,187634.19024396397,2017-Jul
2017,Jul,PASSENGER,15604.703665578105,2017-Jul
2017,Jul,PLEASURECRAFTSAILING,91896.05500562685,2017-Jul
2017,Jul,TANKER,34885.80055166375,2017-Jul
2017,Jul,TUGTOW,228.17548360729216,2017-Jul
2017,Jun,ALLOTHER,44861.97736863327,2017-Jun
2017,Jun,ALLVESSELTYPES,371354.3376622878,2017-Jun
2017,Jun,CARGO,53273.15239881134,2017-Jun
2017,Jun,FISHING,172693.6364856412,2017-Jun
2017,Jun,PASSENGER,9466.86719601214,2017-Jun
2017,Jun,PLEASURECRAFTSAILING,39973.15873779726,2017-Jun
2017,Jun,TANKER,28178.441091003002,2017-Jun
2017,Jun,TUGTOW,79.3022124080658,2017-Jun
2017,Mar,ALLOTHER,15862.634440294296,2017-Mar
2017,Mar,ALLVESSELTYPES,167862.8658374503,2017-Mar
2017,Mar,CARGO,52724.68820229784,2017-Mar
2017,Mar,FISHING,60400.79111375611,2017-Mar
2017,Mar,PASSENGER,2973.8155383995622,2017-Mar
2017,Mar,PLEASURECRAFTSAILING,276.19882663488386,2017-Mar
2017,Mar,TANKER,22764.031628828587,2017-Mar
2017,Mar,TUGTOW,14.719114715576172,2017-Mar
2017,May,ALLOTHER,32272.426653499304,2017-May
2017,May,ALLVESSELTYPES,278675.98391886696,2017-May
2017,May,CARGO,48688.174200677284,2017-May
2017,May,FISHING,135667.49776150475,2017-May
2017,May,PASSENGER,7719.0074605981245,2017-May
2017,May,PLEASURECRAFTSAILING,19194.23044486302,2017-May
2017,May,TANKER,26376.418019133016,2017-May
2017,May,TUGTOW,254.64238736104966,2017-May
2017,Nov,ALLOTHER,23676.262716237754,2017-Nov
2017,Nov,ALLVESSELTYPES,205025.63031708662,2017-Nov
2017,Nov,CARGO,59060.04060998248,2017-Nov
2017,Nov,FISHING,69495.37655246824,2017-Nov
2017,Nov,PASSENGER,10035.878864915338,2017-Nov
