"","Year","Variable","Val","ScaleType","ScaleName","ScaleName2","ScaleName3"
"240",1969,"Landings_KG",219033600,"State","North Carolina","MAFMC","NES_LME_states"
"241",1969,"Landings_KG",5482300,"State","Connecticut","NEFMC","NES_LME_states"
"242",1969,"Landings_KG",88513700,"State","Rhode Island","NEFMC","NES_LME_states"
"243",1969,"Landings_KG",74831200,"State","Maryland","MAFMC","NES_LME_states"
"244",1969,"Landings_KG",279251100,"State","Virginia","MAFMC","NES_LME_states"
"245",1969,"Landings_KG",92861700,"State","New Jersey","MAFMC","NES_LME_states"
"246",1969,"Landings_KG",3614800,"State","Delaware","MAFMC","NES_LME_states"
"247",1969,"Landings_KG",41387400,"State","New York","MAFMC","NES_LME_states"
"248",1969,"Landings_KG",1287800,"State","New Hampshire","NEFMC","NES_LME_states"
"249",1969,"Landings_KG",191314000,"State","Maine","NEFMC","NES_LME_states"
"250",1969,"Landings_KG",281659900,"State","Massachusetts","NEFMC","NES_LME_states"
"251",1970,"Landings_KG",79896700,"State","Maryland","MAFMC","NES_LME_states"
"252",1970,"Landings_KG",173641535,"State","North Carolina","MAFMC","NES_LME_states"
"253",1970,"Landings_KG",79394200,"State","Rhode Island","NEFMC","NES_LME_states"
"254",1970,"Landings_KG",550552700,"State","Virginia","MAFMC","NES_LME_states"
"255",1970,"Landings_KG",286935500,"State","Massachusetts","NEFMC","NES_LME_states"
"256",1970,"Landings_KG",32484100,"State","New York","MAFMC","NES_LME_states"
"257",1970,"Landings_KG",1332800,"State","New Hampshire","NEFMC","NES_LME_states"
"258",1970,"Landings_KG",4803000,"State","Connecticut","NEFMC","NES_LME_states"
"259",1970,"Landings_KG",158806000,"State","Maine","NEFMC","NES_LME_states"
"260",1970,"Landings_KG",9960000,"State","Delaware","MAFMC","NES_LME_states"
"261",1970,"Landings_KG",97547200,"State","New Jersey","MAFMC","NES_LME_states"
"262",1971,"Landings_KG",86094400,"State","Rhode Island","NEFMC","NES_LME_states"
"263",1971,"Landings_KG",75112700,"State","Maryland","MAFMC","NES_LME_states"
"264",1971,"Landings_KG",6779800,"State","Connecticut","NEFMC","NES_LME_states"
"265",1971,"Landings_KG",276627400,"State","Massachusetts","NEFMC","NES_LME_states"
"266",1971,"Landings_KG",36359900,"State","New York","MAFMC","NES_LME_states"
"267",1971,"Landings_KG",9618400,"State","Delaware","MAFMC","NES_LME_states"
"268",1971,"Landings_KG",1336800,"State","New Hampshire","NEFMC","NES_LME_states"
"269",1971,"Landings_KG",491764900,"State","Virginia","MAFMC","NES_LME_states"
"270",1971,"Landings_KG",142685300,"State","Maine","NEFMC","NES_LME_states"
"271",1971,"Landings_KG",143474800,"State","North Carolina","MAFMC","NES_LME_states"
"272",1971,"Landings_KG",115586400,"State","New Jersey","MAFMC","NES_LME_states"
"273",1972,"Landings_KG",12548100,"State","Delaware","MAFMC","NES_LME_states"
"274",1972,"Landings_KG",4438900,"State","Connecticut","NEFMC","NES_LME_states"
"275",1972,"Landings_KG",69978600,"State","Maryland","MAFMC","NES_LME_states"
"276",1972,"Landings_KG",175811100,"State","North Carolina","MAFMC","NES_LME_states"
"277",1972,"Landings_KG",1509500,"State","New Hampshire","NEFMC","NES_LME_states"
"278",1972,"Landings_KG",82266500,"State","Rhode Island","NEFMC","NES_LME_states"
"279",1972,"Landings_KG",666180300,"State","Virginia","MAFMC","NES_LME_states"
"280",1972,"Landings_KG",37009200,"State","New York","MAFMC","NES_LME_states"
"281",1972,"Landings_KG",190516100,"State","New Jersey","MAFMC","NES_LME_states"
"282",1972,"Landings_KG",251768200,"State","Massachusetts","NEFMC","NES_LME_states"
"283",1972,"Landings_KG",149271300,"State","Maine","NEFMC","NES_LME_states"
"284",1973,"Landings_KG",269011900,"State","Massachusetts","NEFMC","NES_LME_states"
"285",1973,"Landings_KG",70417300,"State","Maryland","MAFMC","NES_LME_states"
"286",1973,"Landings_KG",10660500,"State","Delaware","MAFMC","NES_LME_states"
"287",1973,"Landings_KG",2482900,"State","New Hampshire","NEFMC","NES_LME_states"
"288",1973,"Landings_KG",6533000,"State","Connecticut","NEFMC","NES_LME_states"
"289",1973,"Landings_KG",36305600,"State","New York","MAFMC","NES_LME_states"
"290",1973,"Landings_KG",209795900,"State","New Jersey","MAFMC","NES_LME_states"
"291",1973,"Landings_KG",96799900,"State","Rhode Island","NEFMC","NES_LME_states"
"292",1973,"Landings_KG",137869200,"State","North Carolina","MAFMC","NES_LME_states"
"293",1973,"Landings_KG",143318800,"State","Maine","NEFMC","NES_LME_states"
"294",1973,"Landings_KG",630744100,"State","Virginia","MAFMC","NES_LME_states"
"295",1974,"Landings_KG",9214200,"State","Delaware","MAFMC","NES_LME_states"
"296",1974,"Landings_KG",34790600,"State","New York","MAFMC","NES_LME_states"
"297",1974,"Landings_KG",2918900,"State","New Hampshire","NEFMC","NES_LME_states"
"298",1974,"Landings_KG",66859300,"State","Maryland","MAFMC","NES_LME_states"
"299",1974,"Landings_KG",206690500,"State","North Carolina","MAFMC","NES_LME_states"
"300",1974,"Landings_KG",166964900,"State","New Jersey","MAFMC","NES_LME_states"
"301",1974,"Landings_KG",270043000,"State","Massachusetts","NEFMC","NES_LME_states"
"302",1974,"Landings_KG",4791100,"State","Connecticut","NEFMC","NES_LME_states"
"303",1974,"Landings_KG",530408700,"State","Virginia","MAFMC","NES_LME_states"
"304",1974,"Landings_KG",147820700,"State","Maine","NEFMC","NES_LME_states"
"305",1974,"Landings_KG",96918000,"State","Rhode Island","NEFMC","NES_LME_states"
"306",1975,"Landings_KG",143582400,"State","New Jersey","MAFMC","NES_LME_states"
"307",1975,"Landings_KG",3629100,"State","Connecticut","NEFMC","NES_LME_states"
"308",1975,"Landings_KG",238301200,"State","North Carolina","MAFMC","NES_LME_states"
"309",1975,"Landings_KG",37422500,"State","New York","MAFMC","NES_LME_states"
"310",1975,"Landings_KG",3145700,"State","New Hampshire","NEFMC","NES_LME_states"
"311",1975,"Landings_KG",273753400,"State","Massachusetts","NEFMC","NES_LME_states"
"312",1975,"Landings_KG",444838200,"State","Virginia","MAFMC","NES_LME_states"
"313",1975,"Landings_KG",7055300,"State","Delaware","MAFMC","NES_LME_states"
"314",1975,"Landings_KG",64317100,"State","Maryland","MAFMC","NES_LME_states"
"315",1975,"Landings_KG",79482600,"State","Rhode Island","NEFMC","NES_LME_states"
"316",1975,"Landings_KG",138352500,"State","Maine","NEFMC","NES_LME_states"
"317",1976,"Landings_KG",3401000,"State","New Hampshire","NEFMC","NES_LME_states"
"318",1976,"Landings_KG",528895900,"State","Virginia","MAFMC","NES_LME_states"
"319",1976,"Landings_KG",177840900,"State","Maine","NEFMC","NES_LME_states"
"320",1976,"Landings_KG",289046900,"State","Massachusetts","NEFMC","NES_LME_states"
"321",1976,"Landings_KG",4719600,"State","Connecticut","NEFMC","NES_LME_states"
"322",1976,"Landings_KG",34627500,"State","New York","MAFMC","NES_LME_states"
"323",1976,"Landings_KG",226068700,"State","North Carolina","MAFMC","NES_LME_states"
"324",1976,"Landings_KG",72471700,"State","Rhode Island","NEFMC","NES_LME_states"
"325",1976,"Landings_KG",226989000,"State","New Jersey","MAFMC","NES_LME_states"
"326",1976,"Landings_KG",58093700,"State","Maryland","MAFMC","NES_LME_states"
"327",1976,"Landings_KG",7168900,"State","Delaware","MAFMC","NES_LME_states"
"328",1977,"Landings_KG",251260700,"State","North Carolina","MAFMC","NES_LME_states"
"329",1977,"Landings_KG",5164000,"State","Connecticut","NEFMC","NES_LME_states"
"330",1977,"Landings_KG",178644200,"State","New Jersey","MAFMC","NES_LME_states"
"331",1977,"Landings_KG",73132800,"State","Rhode Island","NEFMC","NES_LME_states"
"332",1977,"Landings_KG",609076400,"State","Virginia","MAFMC","NES_LME_states"
"333",1977,"Landings_KG",182188800,"State","Maine","NEFMC","NES_LME_states"
