#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 05 50 290  9.6 12.6  2.40  6.67  5.31 999 1006.3  -0.2  12.2  -4.8 99.0 99.00
2010 01 05 06 50 290  9.8 12.2  2.04  6.25  4.86 999 1006.5  -0.1  12.2  -4.4 99.0 99.00
2010 01 05 07 50 297  8.8 12.2  2.01  6.67  4.83 999 1006.9  -0.6  12.1  -5.0 99.0 99.00
2010 01 05 08 50 286  8.9 11.7  1.86  6.25  4.80 999 1006.6  -0.5  12.1  -4.6 99.0 99.00
2010 01 05 09 50 283  8.2 11.2  1.66  5.88  4.67 999 1006.6  -0.7  12.1  -4.9 99.0 99.00
2010 01 05 10 50 281  8.3 10.3  1.54  5.88  4.61 999 1006.7  -0.6  12.0  -4.5 99.0 99.00
2010 01 05 11 50 284  8.6 11.1  1.47  6.25  4.58 999 1006.8  -0.6  11.7  -4.5 99.0 99.00
2010 01 05 12 50 290  8.3 11.4  1.54  5.88  4.66 999 1006.9  -0.8  11.7  -5.0 99.0 99.00
2010 01 05 13 50 296  8.6 10.6  1.73  5.88  4.75 999 1007.0  -0.3  11.7  -4.0 99.0 99.00
2010 01 05 14 50 294  9.2 11.6  1.62  5.88  4.63 999 1007.0  -0.3  11.8  -3.8 99.0 99.00
2010 01 05 15 50 283  9.0 11.9  1.78  6.25  4.79 999 1006.5   0.0  11.8  -2.8 99.0 99.00
2010 01 05 16 50 296  9.5 11.3  1.73  5.88  4.61 999 1005.7  -0.1  11.7  -3.6 99.0 99.00
2010 01 05 17 50 301  9.5 12.7  1.77  6.25  4.56 999 1005.1  -0.1  11.6  -3.8 99.0 99.00
2010 01 05 18 50 300 10.0 13.0  1.67  5.88  4.53 999 1004.7   0.2  11.4  -3.1 99.0 99.00
2010 01 05 19 50 298  9.4 11.9  1.91  5.88  4.77 999 1004.6   0.5  11.4  -3.0 99.0 99.00
2010 01 05 20 50 294  9.3 12.0  1.88  6.25  4.70 999 1004.6   1.0  11.5  -2.8 99.0 99.00
2010 01 05 21 50 294 10.3 12.9  1.83  6.25  4.73 999 1004.5   1.3  11.6  -3.2 99.0 99.00
2010 01 05 22 50 299 10.7 13.4  1.83  5.88  4.77 999 1004.6   1.9  11.7  -3.2 99.0 99.00
2010 01 05 23 50 290 11.4 14.1  1.91  6.25  4.81 999 1004.8   2.0  11.6  -2.9 99.0 99.00
2010 01 06 00 50 296 11.3 15.2  1.95  6.25  4.78 999 1005.1   1.8  10.9  -3.4 99.0 99.00
2010 01 06 01 50 292 10.6 12.9  1.96  6.25  4.84 999 1005.2   1.7  11.0  -3.3 99.0 99.00
2010 01 06 02 50 300 10.4 12.6  2.19  6.25  4.98 999 1005.3   1.2  10.9  -3.6 99.0 99.00
2010 01 06 03 50 290 10.3 12.8  2.15  6.67  5.01 999 1005.2   1.0  11.0  -3.5 99.0 99.00
2010 01 06 04 50 296 10.6 13.2  2.42  6.67  5.29 999 1004.9   1.3  11.0  -2.9 99.0 99.00
2010 01 06 05 50 302 11.5 13.7  2.27  6.67  5.12 999 1004.6   1.2  11.0  -3.2 99.0 99.00
2010 01 06 06 50 299 11.2 14.3  2.20  6.25  4.92 999 1004.7   1.3  11.0  -2.9 99.0 99.00
2010 01 06 07 50 298 10.1 12.0  2.28  6.67  5.06 999 1005.2   1.4  11.0  -2.8 99.0 99.00
2010 01 06 08 50 296  9.9 12.0  2.14  6.67  5.01 999 1005.0   1.0  11.1  -3.5 99.0 99.00
2010 01 06 09 50 291  9.7 12.3  1.93  6.67  4.81 999 1005.1   1.0  11.1  -3.6 99.0 99.00
2010 01 06 10 50 291  9.2 11.7  1.92  6.67  4.82 999 1005.3   0.9  11.2  -3.8 99.0 99.00
2010 01 06 11 50 296 10.0 12.3  2.09  6.25  5.11 999 1005.4   1.2  11.3  -3.3 99.0 99.00
2010 01 06 12 50 295  8.5 11.5  1.98  6.67  4.94 999 1005.9   1.2  11.3  -3.2 99.0 99.00
2010 01 06 13 50 289  9.6 12.0  2.00  6.25  4.93 999 1006.0   1.2  11.4  -2.9 99.0 99.00
2010 01 06 14 50 311  9.1 12.7  1.82  6.25  4.89 999 1006.3   1.0  11.4  -2.5 99.0 99.00
2010 01 06 15 50 303  9.5 13.0  1.85  5.88  4.84 999 1005.9   1.2  11.4  -2.2 99.0 99.00
2010 01 06 16 50 303 10.4 12.5  1.87  5.88  4.76 999 1005.2   1.2  11.4  -2.4 99.0 99.00
2010 01 06 17 50 295  9.8 11.5  2.09  5.88  4.94 999 1004.8   0.9  11.5  -3.2 99.0 99.00
2010 01 06 18 50 293 10.4 13.0  1.93  5.88  4.80 999 1004.6   1.0  11.6  -4.3 99.0 99.00
2010 01 06 19 50 294 10.1 12.1  1.89  6.25  4.73 999 1004.6   1.8  11.7  -3.3 99.0 99.00
2010 01 06 20 50 304 10.7 12.9  1.89  5.88  4.60 999 1004.9   2.3  11.7  -3.7 99.0 99.00
2010 01 06 21 50 300 11.2 14.1  2.16  6.25  4.98 999 1005.2   2.9  11.7  -3.1 99.0 99.00
2010 01 06 22 50 305 12.2 15.2  2.12  6.25  4.89 999 1005.4   3.6  11.7  -2.3 99.0 99.00
2010 01 06 23 50 299 12.7 16.3  2.34  6.67  5.07 999 1006.0   4.1  11.7  -1.6 99.0 99.00
2010 01 07 00 50 305 13.3 16.1  2.56  6.25  5.39 999 1006.3   3.3  11.7  -2.1 99.0 99.00
