"","year","month","day","hour","Dp","DpDt","DsqP","Ege","Ely","Emg","Erg","Esp","area","centers","depth","id","lat","lon","p_cent","p_edge","p_grad","pid","ptid","radius","time","type","u","uv","v","x","y","strength"
"11653",2022,4,6,12,0.0374341440861463,0.417197008664453,13.5844495329077,0,0,0,0,0,207500,1,6,5,38.4368734310047,-73.9306257897625,997.981569798846,1003.98156979885,16.2605627251658,5,165,257.000586347846,44655.5,1,24.2842485882076,46.5551837229613,39.7197734382362,146,298,1
"11654",2022,4,6,15,1.21179505005915,13.4758918848157,14.3895823211858,0,0,0,0,0,394375,1,8,6,38.5359871389613,-73.3626168729484,999.193364848905,1007.19336484891,15.4539765344628,6,165,354.307015685172,44655.625,1,16.4681735088153,16.8729494216806,3.67364716190139,147,296,1
"11655",2022,4,6,18,-0.242305195317167,-2.6657445623412,10.1804657823222,0,0,0,0,0,428125,1,8,6,39.0313206651599,-70.7407083562328,998.951059653588,1006.95105965359,15.302290501311,6,165,369.156362565289,44655.75,1,75.4877466284078,77.688300603177,18.3595250367459,152,287,1
"11656",2022,4,6,21,-0.458738049706153,-5.0580972625751,9.00798604532203,0,0,0,0,0,339375,1,8,7,38.9281294753634,-69.6723449320755,998.492321603882,1006.49232160388,14.8396969400799,7,165,328.673725179887,44655.875,1,30.805156513719,31.0416913468328,-3.82477892659315,153,283,1
"11657",2022,4,7,0,1.29979365413965,14.3260583017842,8.50890902591731,0,0,0,0,0,379375,1,8,6,38.9462622692182,-68.2710861892329,999.792115258022,1007.79211525802,14.6336347800851,6,165,347.503687852339,44656,1,40.3933525507722,40.398943517834,0.672091560845842,155,278,1
"11658",2022,4,7,21,-1.63663812124636,-18.8369487989133,5.42294868513563,0,0,0,0,0,386875,1,4,6,37.0099134017519,-76.4211372860507,997.885601367895,1001.88560136789,11.9546287591221,6,190,350.921839185529,44656.875,1,82.879790591091,93.9670483567308,44.2803171674853,138,306,1
"11659",2022,4,8,0,1.91150140272643,21.8779867108519,9.17838037065296,0,0,2,0,1,4169375,0,11.4870480172792,6,37.2521595026357,-75.3206988901872,999.797102770621,1011.2841507879,11.7168125308443,7,190,1152.02138943144,44657,2,32.4659951837455,33.6847222829147,8.97884580589876,140,302,1
"11660",2022,4,8,3,-0.221432182321587,-2.35622359249851,7.79651362266362,0,0,1,0,0,4863750,3,14,9,40.6242675586982,-74.368095741147,999.5756705883,1013.5756705883,11.9374757846964,9,190,1244.25869855365,44657.125,1,26.7986471863924,127.827787739258,124.987102643801,154,302,1
"11661",2022,4,8,6,-1.74511388876141,-18.6112349680128,6.27322463534547,0,0,0,0,0,5578750,4,16,9,40.51406400616,-73.0056177428956,997.830556699538,1013.83055669954,13.524040966299,9,190,1332.58068331633,44657.25,1,38.3922303054607,38.6089116189546,-4.08469198015183,155,297,1
"11662",2022,4,8,9,-1.05446317026217,-11.085785273688,6.84209228611296,0,0,0,0,0,5150000,4,16,8,41.2236698214983,-72.7674846814609,996.776093529276,1012.77609352928,13.9699725643205,8,190,1280.34991851701,44657.375,1,6.63870757720163,27.1264171618033,26.3015221943632,158,297,1
"11663",2022,4,8,12,1.57663006396222,16.2705957905669,6.27259123603311,0,0,0,0,0,5749375,4,16,7,42.1711019084287,-71.565051177078,998.352723593238,1014.35272359324,13.3140868160226,7,190,1352.80556691563,44657.5,1,33.0311260274592,48.2102392586024,35.1165471356424,163,294,1
"11664",2022,4,10,3,NA,NA,6.40308986790733,3,0,0,0,0,625,1,0,7,38.8952754021261,-67.4501420788407,1001.90127950354,1001.90127950354,9.0768715139136,7,281,14.1047395886939,44659.125,1,NA,NA,NA,156,275,1
"11665",2022,4,19,0,-2.68508209869236,-30.815803075135,17.2246029398483,0,0,0,2,0,396250,1,8,4,37.1337065818012,-75.8720833630803,1003.92874318613,1011.92874318613,15.1589767898459,4,513,355.148268192775,44668,1,14.2622924098411,36.9016371855819,34.0340688456804,139,304,2
"11666",2022,4,19,3,-3.41200507669229,-38.1527481632623,27.4542101176106,0,0,0,0,0,478125,1,12,6,38.2862067076494,-75.3087979252956,1000.51673810944,1012.51673810944,19.1377496697961,6,513,390.117821089507,44668.125,1,16.3877767028136,45.7529730931058,42.7173889838458,144,303,2
"11667",2022,4,19,6,-3.8299531202222,-41.6271512687539,26.9926550349387,0,0,0,0,0,441250,1,14,7,39.6009802393747,-74.3983384692516,996.686784989218,1010.68678498922,22.7328823125249,7,513,374.772247209685,44668.25,1,26.001382053168,55.2348119340331,48.7320488047978,150,301,2
"11668",2022,4,19,9,-2.73012712176118,-29.0734982181082,21.0243431396764,0,0,0,0,0,377500,1,14,7,40.5859660649181,-73.2622073666783,993.956657867457,1007.95665786746,25.597749645608,7,513,346.643883595804,44668.375,1,31.9799143247071,48.5343559388903,36.5084755390757,155,298,2
"11669",2022,4,19,12,2.13431830942107,22.1287316509437,15.4269877076358,0,0,2,0,0,1724375,2,18,6,41.9302839967271,-72.5227941442248,996.090976176878,1014.09097617688,24.6087601579783,6,513,740.868146155694,44668.5,1,20.3891100054993,53.8373181397247,49.8271112714913,161,297,2
"11670",2022,4,3,18,NA,NA,5.34708653675662,3,0,0,0,0,125000,1,2,8,38.2469041342234,-71.565051177078,1005.71234969827,1007.71234969827,8.15597150467149,8,85,199.471140200716,44652.75,1,NA,NA,NA,148,289,1
"11671",2022,4,3,21,-2.27833733843392,-24.9035220276239,6.83754581498841,0,0,0,0,0,353125,1,4,9,39.3338111904523,-70.0728791740917,1003.43401235984,1007.43401235984,9.28882225412874,9,85,335.26583267409,44652.875,1,42.7778618847331,58.7615694598559,40.2861834622761,154,285,1
"11672",2022,4,4,0,-1.94407384430437,-21.0536187478182,12.3951529623062,0,0,0,0,0,375000,1,6,10,39.7727768346226,-69.0573494500117,1001.48993851554,1007.48993851554,12.0311234783972,10,85,345.494149471336,44653,1,28.9299304778355,33.1912931466839,16.2702508676636,157,282,1
"11673",2022,4,4,3,-2.82209490668683,-29.9876583554166,15.7208677025583,0,0,0,0,0,871250,1,10,10,40.6927999450417,-67.2250304511136,998.667843608849,1008.66784360885,15.1450078264889,10,85,526.618921363093,44653.125,1,51.4932185082997,61.7608678515981,34.1006340914515,163,277,2
"11674",2022,5,7,12,2.68873430288484,30.4325389670637,5.68389297484959,0,0,0,0,0,2336250,2,10,4,37.7423128886214,-76.2417392649755,999.752116425508,1009.75211642551,13.3726774456537,4,169,862.352289726699,44686.5,1,32.4079296085599,33.8036944170271,9.61331653106138,141,306,1
"11675",2022,5,7,15,0.634529727867193,7.17239098014881,4.94379681307109,0,0,0,0,0,2351250,2,10,2,37.8014344759704,-75.4381219256159,1000.38664615338,1010.38664615338,13.1848276781053,2,169,865.116246460346,44686.625,1,23.5350727173672,23.6368699204803,2.19134018946042,142,303,1
"11676",2022,5,5,3,NA,NA,4.2333121824616,3,0,0,0,0,356250,1,4,6,42.1176409171321,-67.4545313107595,1010.78263221042,1014.78263221042,7.92319380766045,6,136,336.74604222318,44684.125,1,NA,NA,NA,168,280,1
"11677",2022,4,27,9,NA,NA,3.23587964492035,3,0,0,0,0,200625,1,2,3,42.805350340152,-68.6407189378549,1007.08471009743,1009.08471009743,8.49141420874889,3,766,252.707184139318,44676.375,1,NA,NA,NA,169,285,1
"11678",2022,5,20,0,NA,NA,7.19776055636954,3,0,0,0,0,59375,1,2,4,40.9757961829938,-67.9727213308287,1003.80966954025,1005.80966954025,7.75681617365868,4,488,137.475996058085,44699,1,NA,NA,NA,163,280,1
"11679",2022,5,4,15,1.07224964742782,10.9476399666007,7.92974797767478,0,0,0,0,0,96875,1,2,7,42.7321654711421,-76.8795968470228,1011.85717173001,1013.85717173001,8.78453120700231,7,77,175.602591735016,44683.625,1,5.72110109310321,12.3226806678532,-10.9140946085498,160,313,1
"11680",2022,5,4,18,0.847001905323559,8.79674080027106,6.40901448271106,0,0,0,0,0,625,1,0,7,41.842720832757,-76.2637316943774,1012.70417363534,1012.70417363534,7.50789855161705,7,77,14.1047395886939,44683.75,1,17.0056149183999,37.0948797107508,-32.9672437732087,157,310,1
"11682",2022,6,9,9,-1.20652465581836,-12.5165147788179,18.2247149920469,0,0,0,0,0,626875,1,8,5,41.9006886187687,-75.3964901222156,999.202670798417,1007.20267079842,13.0011847473327,5,195,446.699574548112,44719.375,1,68.947905554485,78.0270072075718,36.5294425555645,158,307,2
